hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,34.4521,287.067,3.27768,-4.63881,5.679942288307163
2,1,34.8496,286.068,3.53242,-4.35061,5.604087653534695
3,1,32.4258,282.929,3.35565,-9.10158,9.700471401890736
4,1,32.501,282.68,2.98879,-9.51575,9.974084605947555
5,1,0.0,282.074,4.62712,-9.88086,10.910620231407563
6,1,0.90625,282.934,3.44292,-7.68166,8.417933147869494
7,1,13.4858,283.185,2.91457,-8.88438,9.350236695897062
8,1,34.364,283.18,4.95712,-6.34445,8.051402641583639
9,1,70.1107,284.328,5.79761,-7.86724,9.772704176925647
10,1,100.123,284.935,2.64918,-6.8447,7.339487227483947
11,1,217.131,285.435,3.3572,-8.22945,8.887892840403737
12,1,208.418,285.685,2.95115,-7.20298,7.784099639836325
13,1,150.631,286.167,3.19867,-7.29775,7.967976206754134
14,1,111.066,285.269,3.99876,-9.60581,10.404886702588355
15,1,83.0527,284.162,3.64299,-8.56238,9.305145211360218
16,1,145.628,285.703,3.16917,-6.6283,7.346972123187892
17,1,174.852,285.18,2.34902,-6.1602,6.592871832547634
18,1,222.43,285.305,1.51223,-4.90377,5.131646888261116
19,1,100.142,285.18,1.70473,-1.43086,2.2256380461566523
20,1,11.5508,284.68,1.3922,-2.02839,2.4602005674538003
21,1,0.0,285.073,1.21008,-2.07172,2.399232661664975
22,1,21.7676,285.55,1.37099,,1.37099
23,1,20.6445,285.112,0.149381,1.29168,1.300289162286989
24,1,17.8506,284.958,1.16154,,1.16154
1,2,27.5947,289.213,-2.38638,-2.29848,3.313279314334969
2,2,27.1318,288.189,-4.29912,-2.79788,5.12938254264585
3,2,24.3643,287.677,-2.32501,-4.9634,5.480968076909407
4,2,23.4033,287.6,-1.90574,-2.19154,2.9042542104987983
5,2,0.0,287.162,-1.0555,-3.02197,3.2009971775838855
6,2,2.84766,287.75,-1.36372,-6.33205,6.477236250199617
7,2,14.0014,287.85,0.224627,-0.937602,0.9641342227786545
8,2,27.1374,288.1,-3.60098,-5.36838,6.464252531020118
9,2,36.0169,287.939,-1.45239,-3.27252,3.5803385122778546
10,2,87.998,288.438,-0.186761,-2.01218,2.020828548769291
11,2,211.584,289.463,-0.175024,-2.34663,2.3531480526044257
12,2,200.605,290.185,0.461894,-2.39781,2.4418924757933143
13,2,270.834,290.787,0.965276,0.511818,1.0925728448483425
14,2,108.145,289.875,0.988511,-1.56529,1.851293272612689
15,2,41.787,289.875,1.37834,-1.08289,1.7528468009783398
16,2,88.8466,290.31,3.03197,-0.304082,3.0471803267322395
17,2,139.665,290.56,-0.346295,2.3315,2.3570771045990413
18,2,145.29,290.935,0.827664,1.20854,1.4647855230360518
19,2,65.6885,291.023,-0.373887,1.40166,1.4506695848362576
20,2,14.0625,290.657,-0.800179,0.523858,0.9564066270185502
21,2,0.0,290.71,-0.833868,-0.425239,0.9360363500126477
22,2,15.6699,290.5,-0.378526,-1.6427,1.6857476746761362
23,2,15.2324,290.5,0.519498,0.651056,0.8329178153575537
24,2,12.583,290.585,-0.228592,-0.309847,0.3850447582723338
1,3,29.3545,285.843,2.91343,-5.61001,6.3214149179594274
2,3,29.2021,285.902,4.06904,-7.02347,8.117032546596077
3,3,28.666,285.712,2.91424,-5.33742,6.081187962396821
4,3,27.4346,285.1,3.37063,-8.70521,9.334978722043237
5,3,0.0,283.431,1.56853,-9.33008,9.461008358906572
6,3,3.75586,283.719,3.64116,,3.64116
7,3,15.3764,284.029,5.43654,-8.56553,10.145159996397297
8,3,34.3562,284.152,3.94834,-9.06711,9.889482924182639
9,3,103.345,285.524,4.30005,-5.72759,7.162102848367929
10,3,260.217,286.963,6.01734,-8.13034,10.11488058215222
11,3,318.787,287.396,6.56814,-8.70943,10.908466160945817
12,3,468.543,289.451,7.96678,-7.83238,11.172097387366438
13,3,283.709,288.175,4.52924,-8.80508,9.901689188416288
14,3,244.863,288.286,2.8308,-8.87046,9.311202352628793
15,3,302.381,287.222,4.65373,-8.30847,9.523018253358543
16,3,202.237,287.225,4.67259,-6.82459,8.270920503559443
17,3,272.477,287.612,4.16201,-8.0308,9.045223926476337
18,3,204.04,286.327,2.05813,-4.77145,5.196405892479916
19,3,80.6025,285.749,1.12074,-5.57002,5.681653011932355
20,3,8.59766,285.727,0.442497,-0.331122,0.5526711263427826
21,3,0.0,285.421,0.0914249,0.888726,0.8934161490682883
22,3,16.6797,285.605,0.932021,-1.23303,1.5456474777066729
23,3,16.5303,285.257,-0.964389,0.426935,1.0546656520177378
24,3,11.5898,285.079,-1.00154,,1.00154
1,4,29.1006,286.417,1.46469,-7.49038,7.632241436203391
2,4,28.6504,286.417,0.797068,-6.69827,6.745527287731035
3,4,28.5947,286.542,0.618345,-7.28078,7.306990348113579
4,4,27.8555,285.113,2.76516,-8.3971,8.840667295832368
5,4,0.0,283.642,-0.0847931,-9.32275,9.323135600875254
6,4,6.7207,284.261,1.02202,-8.94973,9.00789608917088
7,4,16.0796,284.548,1.7007,-8.33653,8.508237945127062
8,4,41.7624,284.888,1.52402,-3.5051,3.8220888229343912
9,4,129.845,286.44,0.651125,-2.4859,2.569759244681299
10,4,295.904,287.608,6.26246,-7.58103,9.833128755004685
11,4,233.428,287.464,1.91384,-8.80464,9.010242453741185
12,4,454.449,289.021,5.03318,,5.03318
13,4,230.053,287.245,4.46479,-7.56338,8.78288487733387
14,4,252.535,287.808,1.26,-9.4608,9.544335316825368
15,4,265.725,286.576,4.35392,-7.80701,8.939016976519286
16,4,263.237,287.336,4.11351,-7.25232,8.337692120874937
17,4,334.79,287.206,0.88222,-8.03471,8.08299925228872
18,4,212.266,286.076,2.7012,-4.68355,5.40667384280761
19,4,96.4854,285.059,1.2975,-4.62813,4.806567751202515
20,4,8.41016,284.846,-0.328499,-1.66218,1.6943299399470575
21,4,0.0,285.371,1.11047,-0.732856,1.330496725902022
22,4,22.2744,285.996,-1.87804,1.16736,2.211280988748377
23,4,17.8877,284.971,-0.632358,-0.532537,0.8267238332919887
24,4,11.4473,285.381,-0.795975,0.467985,0.9233559231683088
1,5,28.2051,282.361,1.42563,-7.06508,7.207480579460482
2,5,27.2607,282.248,1.82978,-3.90042,4.308290963340336
3,5,27.0352,281.538,0.322447,-10.8384,10.843195406696728
4,5,27.624,281.525,2.11868,-8.16077,8.431309028573201
5,5,0.0,281.54,3.60075,-6.67481,7.584094481122977
6,5,1.54297,282.661,2.58159,-5.00881,5.634960917717176
7,5,8.603,282.881,1.59474,-4.64854,4.914480623545076
8,5,23.3327,282.532,2.02939,-7.85519,8.113102594457931
9,5,76.6419,282.866,1.69116,-5.83111,6.071397366150563
10,5,74.3105,283.172,1.51929,-10.2524,10.364359500909837
11,5,149.443,282.965,2.61892,-9.65474,10.003636660435044
12,5,288.074,283.702,2.19627,-8.40806,8.690171164971378
13,5,379.616,284.205,2.44526,-7.5248,7.912136974774893
14,5,235.504,283.006,2.8391,-9.87925,10.279108393849148
15,5,210.771,283.844,2.37736,-8.24646,8.58230406716052
16,5,170.003,284.089,3.19115,-6.71277,7.432679153266338
17,5,51.7897,283.641,2.43837,-7.21635,7.61717503930427
18,5,95.7505,284.045,2.17727,-4.73922,5.21543007443298
19,5,92.2666,283.457,1.46254,-2.64277,3.0204728974946953
20,5,13.293,283.75,1.45568,-1.32477,1.9682529855940776
21,5,0.0,283.651,-0.0037899,-2.14301,2.1430133512047957
