hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,50.3711,294.682,-0.809224,2.25791,2.3985414422677795
2,1,51.3115,294.642,2.55864,-1.89884,3.1862567371760866
3,1,51.9072,293.973,4.16211,0.550575,4.198367835567175
4,1,48.0889,293.468,2.2626,-1.84019,2.9164461243266606
5,1,44.3604,294.322,3.90945,-1.42953,4.162614001249695
6,1,,294.205,3.10338,2.19335,3.8002304728660867
7,1,42.6523,295.249,1.94437,-0.270625,1.9631129838919104
8,1,106.845,295.783,4.80869,-2.63739,5.48446219133654
9,1,317.765,298.119,5.01599,-4.0873,6.4704077900932955
10,1,561.066,299.671,4.28687,-1.72389,4.620503341520273
11,1,671.631,299.954,0.834897,-3.04801,3.1602876389197547
12,1,675.129,300.0,-2.53028,-2.60198,3.6294099794319186
13,1,723.986,299.829,-3.83369,-5.95637,7.08346826018159
14,1,699.62,298.703,-1.93222,-3.49363,3.9923582886935387
15,1,559.075,298.74,-1.44829,-2.08459,2.538318221224439
16,1,425.846,299.346,-1.37657,-1.38424,1.9521950062685849
17,1,215.814,298.227,-1.7627,0.864336,1.9632086009632292
18,1,118.474,297.471,-2.83627,1.8643,3.3941187373013335
19,1,26.4085,296.705,-2.53317,3.18929,4.072900803235944
20,1,0.0,296.045,2.43131,4.36484,4.9963082912986865
21,1,18.1816,295.425,0.712481,4.71991,4.7733824049054565
22,1,22.752,295.689,1.39343,2.63365,2.9795569280347705
23,1,26.6855,295.441,0.847045,2.79668,2.922140355018047
24,1,26.8789,295.225,-2.31012,-1.29698,2.6493039717631497
1,2,50.9688,292.596,0.564799,1.60312,1.6997033990673196
2,2,50.9746,292.597,1.53032,2.53671,2.9625625607740336
3,2,48.7383,292.372,1.44239,1.35966,1.9822119532734133
4,2,46.9531,292.287,1.8251,-0.515478,1.8964987683845196
5,2,42.1699,292.19,1.11062,0.574866,1.2505789468706083
6,2,2.37305,292.25,0.123886,-1.49561,1.5007321590130598
7,2,31.2383,292.6,0.381381,0.0745897,0.38860660121399127
8,2,108.814,293.273,0.973729,1.9466,2.176556850955426
9,2,239.125,294.527,-0.395627,-0.700097,0.8041495709990772
10,2,414.676,295.898,-0.846923,-0.871351,1.215125974181278
11,2,590.662,297.148,-0.868228,-0.988924,1.3159751280932326
12,2,646.816,298.685,-0.598641,0.747143,0.9573890062717453
13,2,704.502,300.168,1.06084,2.87322,3.062805033625222
14,2,713.105,301.347,2.99258,3.3384,4.483352497450986
15,2,533.372,301.112,5.16011,2.34802,5.669209215798973
16,2,473.877,300.818,3.84706,3.12552,4.9566869897139965
17,2,234.001,299.655,3.90819,3.73641,5.406913053138546
18,2,165.92,298.933,4.0065,1.12602,4.161725998957644
19,2,41.9164,297.07,3.99222,3.13753,5.077589490033632
20,2,0.0,295.595,3.03384,5.92441,6.656036282480738
21,2,19.9639,294.749,2.63729,1.84784,3.2202191244851646
22,2,20.1328,294.792,4.10241,2.1483,4.630870403941358
23,2,20.0049,294.292,3.1615,3.05547,4.396700941717551
24,2,20.5703,293.602,1.30609,2.83779,3.1239275235190718
1,3,37.3711,293.213,8.67027,1.87754,8.871230936262453
2,3,43.1875,293.393,6.981,2.19198,7.3170443022029055
3,3,45.457,293.268,9.95118,-3.40841,10.518709147062676
4,3,43.9922,293.201,5.38467,-2.92661,6.128598298224481
5,3,45.1348,293.27,9.23513,-3.58822,9.907721679846482
6,3,,293.268,3.02232,-0.331062,3.0403980381265874
7,3,80.3906,293.704,4.91751,-0.43127,4.936385156468243
8,3,267.009,295.329,6.12363,-0.976742,6.201037760848099
9,3,458.703,297.142,3.79773,-3.44033,5.1243168970897965
10,3,516.879,298.21,3.60913,-1.94557,4.100129507930206
11,3,630.724,298.976,2.95843,-3.04312,4.244159209937817
12,3,713.207,298.724,1.60497,-2.43792,2.9187981477484874
13,3,638.205,298.355,-2.34151,-2.65999,3.543757311131788
14,3,522.245,297.726,-1.92148,-3.7241,4.190585424543927
15,3,519.934,297.535,-2.81645,-2.31116,3.64332967875541
16,3,450.752,297.599,-2.90196,,2.90196
17,3,275.72,296.971,-1.32813,1.97859,2.383012313228784
18,3,124.763,296.224,-2.0394,3.37992,3.947532338866903
19,3,25.0023,295.221,-1.91599,,1.91599
20,3,,294.531,0.633454,,0.633454
21,3,14.0088,294.048,3.75984,7.79022,8.65008233914568
22,3,14.3906,294.474,6.35925,2.32505,6.770961384101965
23,3,15.3154,294.768,7.72204,7.79668,10.973519070198037
24,3,14.4688,292.996,0.860777,2.81923,2.9477101005066633
1,4,36.8076,294.15,5.54185,2.29111,5.996773003424425
2,4,45.4189,293.952,6.34868,-2.00333,6.657256854838936
3,4,49.3379,294.355,4.34766,-4.56515,6.30418448319051
4,4,50.7744,294.332,2.40127,-1.48911,2.825516980129477
5,4,50.3564,294.579,4.40066,-3.0931,5.378947484926768
6,4,,294.417,2.86803,-3.60059,4.6032428166456745
7,4,42.1719,294.779,2.84671,-0.251094,2.857762415061126
8,4,203.564,296.406,3.67148,-1.15155,3.8478348188169407
9,4,411.109,298.16,3.66687,-1.86221,4.112634396709729
10,4,547.457,299.071,2.65503,-1.29127,2.952382514817482
11,4,544.115,299.313,2.164,-3.96353,4.515801818160314
12,4,666.394,299.667,-0.337411,-2.54729,2.5695393608623704
13,4,614.721,299.636,-3.21651,-1.85481,3.7129848796083187
14,4,527.214,298.844,-2.65683,-3.05222,4.046577884744096
15,4,607.09,299.006,-3.127,-1.57874,3.5029343396072954
16,4,433.596,298.786,-3.00841,,3.00841
17,4,255.08,298.327,-2.41798,3.20711,4.016488744226728
18,4,142.943,297.415,-2.57358,7.35258,7.789977321712818
19,4,27.4749,296.275,-1.71384,3.66488,4.045811780100503
20,4,,296.289,2.30435,5.24277,5.726837364147859
21,4,14.5156,296.743,2.90096,,2.90096
22,4,15.9814,295.37,3.06823,6.15123,6.873984713817743
23,4,20.8818,295.454,3.79333,0.873831,3.892676856028638
24,4,18.4111,294.521,2.93793,7.04775,7.63558856588017
1,5,49.4072,296.269,7.94468,1.33213,8.055588782907181
2,5,48.4141,296.194,10.6583,-0.0126095,10.65830745894911
3,5,46.251,296.27,7.86036,1.89335,8.085173687194358
4,5,42.6289,296.388,6.70693,-2.45737,7.142938984885704
5,5,43.6475,296.298,6.20193,-2.90267,6.847585622232116
6,5,4.07617,296.097,6.73766,-3.72266,7.697678854771742
7,5,41.0078,296.321,5.14896,-2.39123,5.677126913721411
8,5,163.627,297.308,5.67246,0.991032,5.758380577612425
9,5,353.234,298.83,4.23523,-1.81777,4.608845942944936
10,5,491.848,299.602,0.135011,-0.995375,1.0044896021094494
11,5,595.927,298.545,-2.46979,-3.00211,3.8874833885432873
12,5,727.473,298.412,-3.09474,-5.84417,6.612997705768542
13,5,647.752,298.375,-2.22139,-4.84212,5.327353904754217
14,5,616.214,297.976,-0.947846,-4.81297,4.905414586007589
15,5,480.637,297.968,-1.65825,-2.08362,2.662942989795313
16,5,443.486,298.179,-1.77208,0.444857,1.8270646613760007
17,5,287.798,297.784,-2.2002,1.97078,2.953786357948049
18,5,128.756,297.067,-2.57358,1.71879,3.0947622009614895
19,5,33.8304,296.362,-2.3154,3.97933,4.603927063811937
20,5,0.0,296.702,-0.539397,4.20956,4.2439774407045325
21,5,23.9648,295.899,-0.541913,4.42792,4.460957882111083
22,5,23.5703,295.964,3.51257,1.06529,3.670557285889978
23,5,23.1328,296.704,5.12634,-0.124216,5.127844713937426
24,5,25.3652,295.059,0.283629,-9.26963,9.273968176920869
1,6,52.584,290.255,4.2523,0.74375,4.3168529454337445
2,6,52.2666,290.582,3.81499,0.341883,3.8302784083913535
3,6,54.9385,290.169,2.69434,-0.473351,2.7356039926862583
4,6,55.6367,290.333,2.33974,-0.700048,2.4422224448039125
5,6,56.1729,290.225,4.61111,-2.02914,5.037831336170356
6,6,2.97119,290.1,5.07213,-1.18897,5.2096211376452315
7,6,67.3555,290.818,7.32669,-0.0557814,7.3269023414186405
8,6,203.353,291.886,6.54014,-1.14666,6.63989912387229
9,6,393.156,292.997,3.16492,-1.98232,3.7344760260041836
10,6,495.02,293.868,2.07691,2.28246,3.0859648085647375
11,6,487.865,294.738,1.49212,0.213713,1.5073471201979323
12,6,701.598,296.475,1.27001,-0.350025,1.317362099320077
13,6,727.096,297.924,2.52666,1.92449,3.1761096510825944
14,6,401.792,297.283,5.39297,2.03567,5.764380085473198
15,6,294.45,296.044,1.68257,1.24158,2.0910673593406788
16,6,156.455,296.592,3.58046,1.9224,4.063903981592085
17,6,279.58,296.874,5.15917,3.53816,6.255846167745815
18,6,173.818,295.679,5.13932,4.86918,7.079655636738273
19,6,42.8187,294.477,6.793,2.51546,7.243782714272979
20,6,0.0,293.609,6.50552,2.51425,6.974470842501242
21,6,22.6396,293.114,6.62654,-0.617979,6.65529341321936
22,6,26.4863,292.235,5.78601,1.47447,5.970927356868446
23,6,27.1631,291.562,5.99255,-0.87324,6.055840453652985
24,6,25.666,290.907,4.25336,1.39736,4.477017562976496
1,7,51.4336,295.153,13.0731,3.39853,13.507625615588404
2,7,53.4883,295.028,13.8511,-1.97745,13.991543149792307
3,7,52.501,294.778,13.7451,0.144814,13.745862835944349
4,7,50.2686,295.027,11.3476,-1.68198,11.471577157496696
5,7,45.292,295.151,11.4085,-3.67074,11.984498504217855
6,7,,295.051,6.94225,-3.92579,7.975378498015
7,7,39.4766,295.301,7.52347,-1.75256,7.72489918345217
8,7,142.455,296.051,7.02744,-2.1369,7.345151772672911
9,7,322.156,297.801,6.83142,-2.89883,7.421018433159966
10,7,494.707,299.151,5.969,-2.0486,6.310762470573584
11,7,528.943,299.35,1.92328,-2.47916,3.1377125846705587
12,7,419.863,299.4,-3.54542,-2.87053,4.561791912976742
13,7,502.455,298.951,-2.04756,-5.67463,6.032737984572179
14,7,559.339,298.576,-2.71933,-3.1948,4.195414483564169
15,7,327.371,298.026,-1.25883,-3.50745,3.726507543451375
16,7,255.721,298.65,-1.28966,0.872591,1.5571249047141338
17,7,216.736,298.501,-0.758798,0.649492,0.998806419116337
18,7,130.201,297.777,-0.327481,0.868204,0.9279127065500289
19,7,27.139,295.949,-0.47165,0.567219,0.737693104523148
20,7,0.0,294.925,1.52408,4.00742,4.287450863018724
21,7,28.6367,294.224,0.560138,3.23651,3.2846235034085716
22,7,28.7354,295.396,8.23425,3.31529,8.876599621848445
23,7,27.1494,296.176,12.7601,-0.194529,12.761582720879138
24,7,27.3613,295.801,14.0307,0.138569,14.03138424595952
1,8,39.6592,291.772,1.57408,-0.694727,1.7205735819571912
2,8,38.5234,291.417,4.68413,0.99032,4.7876724573951375
3,8,42.8291,290.488,0.818363,1.00126,1.2931510303785092
4,8,45.248,290.907,3.47256,0.531885,3.513057728934297
5,8,47.2646,291.028,1.42849,-4.83822,5.044695872745947
6,8,4.14502,290.973,2.47154,-0.772469,2.5894436328217303
7,8,15.2891,291.084,2.82083,0.0252733,2.820943216123446
8,8,68.8141,291.711,2.92978,-3.81073,4.806794564083221
9,8,195.625,293.045,-0.742795,-3.18643,3.2718619403827236
10,8,454.879,294.848,2.84888,-2.61354,3.8660973327116324
11,8,648.052,296.449,3.03314,-2.96353,4.240571697365816
12,8,732.238,297.949,2.69872,-0.84026,2.826504290815777
13,8,764.283,299.466,2.82841,,2.82841
14,8,729.886,300.252,3.31387,1.59719,3.6786886621457926
15,8,565.872,300.485,4.55562,0.472046,4.580011027335633
16,8,427.299,300.002,5.62733,1.44388,5.809615510797594
17,8,301.095,299.301,5.10644,1.23836,5.25445191844021
18,8,139.818,298.086,4.27896,-0.0380459,4.279129137115028
19,8,24.2406,296.556,3.40823,5.40511,6.389933164360954
20,8,0.0,295.944,4.85904,5.38144,7.2505286838409235
21,8,15.4492,294.265,4.56942,6.78729,8.182108816222136
22,8,17.5127,293.239,2.69519,5.32115,5.9647872098340615
23,8,20.835,292.808,3.45642,-3.88789,5.202165690219796
24,8,22.3994,292.589,0.605895,,0.605895
1,9,43.0068,291.37,5.35044,-1.44619,5.542442936981851
2,9,45.7559,291.467,3.49516,-2.9755,4.590179046137525
3,9,47.7129,291.227,0.576176,-2.41183,2.479698113052474
4,9,47.6777,291.352,5.21084,-3.0521,6.038887970115028
5,9,46.6719,290.969,7.46804,-4.25424,8.59477628674534
6,9,2.27686,290.993,3.09166,-4.27686,5.277299784473117
7,9,30.4258,291.243,1.50882,-2.87121,3.243514244843084
8,9,127.033,291.983,1.70322,-3.26922,3.686293229899108
9,9,248.593,293.118,3.06775,-2.74062,4.113646563196697
10,9,393.801,294.608,2.55884,-4.80348,5.442525356486638
11,9,548.615,295.734,-0.0430326,-0.451326,0.4533728740658841
12,9,642.973,297.111,2.84276,1.07185,3.0381156726003704
13,9,737.643,298.485,1.06865,3.32683,3.4942539506166406
14,9,715.089,299.62,3.1459,0.061058,3.1464924740675926
15,9,540.012,299.743,2.71675,-0.123657,2.7195627619433607
16,9,420.971,299.493,1.06776,0.935091,1.4193331518290553
17,9,238.439,298.842,2.43163,-0.0555859,2.432265250579963
18,9,83.568,297.102,6.32584,3.1768,7.07872233850149
19,9,35.471,295.628,3.44925,7.21077,7.993280275043532
20,9,0.0,295.094,3.89127,7.02109,8.027308826811138
21,9,18.6035,293.77,3.98055,2.04999,4.477414131236913
22,9,19.418,292.807,2.78991,-1.39174,3.1177777399455526
23,9,20.165,293.033,1.41931,-1.63301,2.163599439868665
24,9,18.6787,292.771,-0.158754,3.91103,3.914250693736414
1,10,50.4922,290.296,2.97007,1.08457,3.161899411714421
2,10,51.6387,290.248,3.42973,5.18807,6.219253829664778
3,10,46.0098,290.357,1.63965,-2.4338,2.9345927421875766
4,10,41.8643,290.439,2.91689,1.6437,3.348133354885973
5,10,41.8594,290.651,9.25368,-3.15511,9.776774143576192
6,10,3.58008,290.723,8.96227,-3.89747,9.773052540214854
7,10,33.7773,291.026,8.31253,0.562871,8.331565204902438
8,10,115.486,291.596,7.77695,3.90998,8.70453300889255
9,10,293.437,292.664,6.42615,-2.60537,6.934216369525831
10,10,537.301,294.182,3.12378,-0.0998669,3.1253759591632506
11,10,608.787,294.794,2.81634,2.61264,3.841569830837388
