hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,25.7373,298.562,3.02107,-1.88444,3.5606148427624125
2,1,29.5791,298.293,0.832198,-1.99465,2.1612917743109095
3,1,32.7373,297.511,1.33448,0.490491,1.4217659060059784
4,1,33.667,297.221,0.547962,-1.72874,1.8135060907104779
5,1,0.0,297.305,1.56381,-1.31774,2.044979321093492
6,1,37.0586,298.413,1.06804,-1.03979,1.4905947422757133
7,1,177.399,299.842,0.894237,-1.81479,2.023146696675503
8,1,323.367,300.974,2.26885,-3.41598,4.100804760397646
9,1,444.478,301.956,1.97837,-2.87978,3.4938632923026622
10,1,629.756,301.056,2.57505,-2.73631,3.757429296553696
11,1,758.256,302.509,0.496441,-6.07653,6.096775418807963
12,1,831.495,303.402,-1.9314,,1.9314
13,1,771.746,300.722,-3.31781,-2.66216,4.25381699908447
14,1,755.877,301.61,-1.64015,-1.69277,2.357024033691638
15,1,720.315,301.618,-1.22924,,1.22924
16,1,508.438,301.395,-2.59966,-0.475683,2.642821679964239
17,1,412.838,299.834,-2.78237,2.39689,3.6724194326084265
18,1,140.518,301.107,-0.319659,2.33775,2.3595035365052963
19,1,108.117,300.532,1.02571,2.09826,2.3355461955825234
20,1,14.6016,299.588,-1.04905,0.744057,1.2861285790110568
21,1,0.0,299.219,0.842599,2.54075,2.6768234228841092
22,1,43.8408,299.027,0.980292,0.674253,1.1897854904448113
23,1,41.3936,299.463,2.99948,1.28184,3.2619003749348323
24,1,41.1582,299.577,2.42084,2.98057,3.839826015654876
1,2,15.0176,297.59,0.520098,-1.32976,1.4278527890521489
2,2,16.832,297.238,-0.486161,-3.10647,3.144281854226971
3,2,17.9219,296.875,0.616704,0.214612,0.6529794285886807
4,2,16.9902,296.303,0.475697,-1.0681,1.169241312051965
5,2,0.0,295.863,-0.241852,-1.57652,1.594963228511554
6,2,20.8516,296.375,0.415699,-2.83667,2.866967447931873
7,2,135.696,297.213,0.0104475,-2.25278,2.25280422555007
8,2,316.414,298.314,-0.575876,-0.374473,0.6869229906656205
9,2,492.884,299.563,0.229836,0.559669,0.6050239470111907
10,2,645.85,300.728,0.534032,-1.48338,1.5765806041633266
11,2,767.334,302.313,-0.461567,-1.73473,1.7950855880400243
12,2,845.167,304.29,2.17993,0.716535,2.294671482178876
13,2,870.746,306.588,3.41168,2.29732,4.1130572090356345
14,2,843.861,307.347,3.43505,1.29844,3.67226291761633
15,2,774.502,307.221,1.05006,-5.03912,5.1473640222933525
16,2,648.688,306.996,1.83589,2.94375,3.469316381450386
17,2,492.088,306.505,2.59947,-0.792564,2.71760960680448
18,2,323.158,305.362,1.47624,3.08677,3.421612714861225
19,2,155.977,304.164,1.09895,-0.701546,1.303785984207531
20,2,25.8789,302.192,-0.113991,-0.962975,0.9696983029303495
21,2,0.0,300.842,1.01252,-3.05202,3.215590588181276
22,2,25.0381,299.566,1.00373,-1.96637,2.2077329752032964
23,2,24.7139,299.208,-0.429723,-2.36025,2.3990502119024106
24,2,25.3623,298.463,0.489201,-1.90517,1.9669749228958158
1,3,22.0879,298.01,1.16756,8.25765,8.33978296336901
2,3,26.4092,298.503,0.646651,6.59031,6.621959182288954
3,3,29.3682,297.635,1.72608,1.45289,2.2561563594972758
4,3,28.9023,298.171,2.34484,-1.12279,2.599794609137422
5,3,0.0,297.193,2.10776,-2.68248,3.4115027726795124
6,3,38.8711,298.927,1.58367,-2.7893,3.2075232125270734
7,3,194.656,300.574,2.15107,-2.12387,3.0229002500578814
8,3,371.953,301.802,0.580374,-4.7109,4.746515857961079
9,3,460.228,300.884,-0.782371,-5.42568,5.48179786603273
10,3,671.178,300.718,1.32505,-3.4868,3.7300846830199443
11,3,805.162,302.047,-1.30629,-4.88805,5.0595875688241625
12,3,720.089,302.912,-0.506592,,0.506592
13,3,863.48,304.686,-2.63666,-0.76323,2.7449036392012016
14,3,428.423,301.454,1.77684,-0.544822,1.8584916995467051
15,3,477.658,298.671,-1.1223,1.83686,2.1525826231761696
16,3,239.001,300.201,0.667922,0.662012,0.9404146352689329
17,3,200.447,300.109,2.91588,0.818275,3.0285194650232974
18,3,240.971,300.918,0.380048,-0.081686,0.38872752012174283
19,3,94.9612,300.743,1.10188,2.19982,2.460355170864564
20,3,9.58984,299.926,-1.04075,1.41056,1.752951817963061
21,3,0.0,299.234,-1.35955,1.87083,2.312656717154537
22,3,39.4307,299.304,1.18781,-0.68854,1.372945711854624
23,3,38.5488,299.808,5.11764,0.3917,5.132608309582955
24,3,38.3936,299.189,0.743595,,0.743595
1,4,24.0234,299.218,1.6451,8.02913,8.19593085420442
2,4,31.7949,298.468,0.792159,5.97898,6.031228541655588
3,4,30.002,297.52,1.16358,-1.24925,1.7072035552036553
4,4,28.8174,299.088,1.81749,-2.37327,2.989260843921119
5,4,0.0,299.192,1.53647,-1.08531,1.8811267519760597
6,4,33.1602,299.82,1.03484,-2.29907,2.5212331686101543
7,4,161.469,300.642,0.996776,-1.7435,2.008321349828259
