hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,22.4658,293.227,10.8318,6.25527,12.508249038650455
2,1,22.2773,292.917,3.35035,6.4607,7.277739320180409
3,1,20.8701,292.314,4.04144,3.37537,5.26558258035139
4,1,20.4258,291.812,2.06296,2.14467,2.975804659331657
5,1,19.5254,291.349,1.42813,2.72803,3.0792374019877062
6,1,1.49463,291.189,9.25182,4.16088,10.144412042439917
7,1,57.3984,291.65,11.7308,5.72234,13.052081968620945
8,1,218.176,292.988,-0.600071,4.78584,4.823313146649407
9,1,432.293,294.794,5.91225,1.88549,6.20562427178765
10,1,609.187,296.132,-2.16713,2.40092,3.2343267125168413
11,1,729.869,295.576,-4.85105,-1.94303,5.225710639080583
12,1,798.775,295.498,-7.7663,1.32494,7.878507580347943
13,1,812.311,295.798,-7.85318,2.1087,8.131362235345318
14,1,769.795,296.441,-4.15367,4.54583,6.157722375830206
15,1,672.125,296.941,-7.37013,3.0848,7.98966878267804
16,1,528.284,296.071,-5.69373,6.78725,8.859194312994834
17,1,356.114,294.673,-6.39773,2.76461,6.969506266946031
18,1,172.92,295.453,-3.16573,5.58988,6.424064511452231
19,1,27.5682,293.875,-0.544989,6.91209,6.93354174850206
20,1,0.0,295.097,2.67691,0.0295753,2.677073373381852
21,1,27.6797,292.285,0.249356,13.3342,13.336531335198668
22,1,22.2734,292.697,9.05799,14.856,17.399652836769473
23,1,19.5801,291.43,7.72306,3.06637,8.309529513787167
24,1,19.6289,292.261,4.75425,4.07378,6.260876659933495
1,2,16.1562,285.371,-0.166225,0.542377,0.5672773226156673
2,2,16.0664,284.265,0.56324,0.595469,0.8196478680268741
3,2,16.3623,283.35,0.282653,2.24549,2.2632096806325745
4,2,18.3115,282.484,-0.967315,-0.133654,0.9765048391795097
5,2,17.4336,283.037,-0.921476,0.326666,0.9776649191476596
6,2,0.0,281.732,-1.0431,2.74975,2.940949280844537
7,2,52.2617,284.361,-0.658827,2.89324,2.9673036099342784
8,2,219.59,286.475,-0.550266,-0.801075,0.9718610118638364
9,2,407.481,288.188,-0.758653,2.61987,2.727503105646078
10,2,581.0,290.289,0.0135384,0.295455,0.2957650170313589
11,2,712.76,292.675,-0.793433,1.6224,1.8060226148885845
12,2,795.869,296.321,1.52374,2.90013,3.2760551894771246
13,2,822.389,298.16,4.59116,3.01251,5.4912627551138
14,2,790.154,298.713,4.65786,3.41985,5.778497538469668
15,2,701.625,299.563,3.45311,3.7225,5.077496915026143
16,2,568.612,299.572,4.48401,3.85756,5.914990687541274
17,2,398.036,298.847,4.47435,2.86324,5.312057155198916
18,2,210.256,297.67,2.95049,3.39359,4.49687050382819
19,2,44.7635,295.107,3.77435,2.90916,4.765388738403195
20,2,0.0,293.331,2.99722,2.40653,3.843789064100682
21,2,20.5479,291.555,1.33139,1.09595,1.7244436014552638
22,2,17.4121,290.558,1.83094,2.72803,3.2854967606893175
23,2,15.8818,288.963,2.75431,0.714808,2.84555338255391
24,2,14.1074,288.444,9.42612,-0.701611,9.452195313773462
1,3,17.2236,293.07,2.9578,9.4291,9.882130724191013
2,3,17.0127,292.334,4.94508,2.77711,5.67152150295668
